model,accuracy,precision,recall,specificity,f1,roc_auc
XGBoost,0.9703703703703703,0.9387755102040817,0.9787234042553191,0.9659090909090909,0.9583333333333334,0.9905705996131529
MLP,0.9629629629629629,0.9375,0.9574468085106383,0.9659090909090909,0.9473684210526315,0.9978239845261122
LightGBM,0.9629629629629629,0.9375,0.9574468085106383,0.9659090909090909,0.9473684210526315,0.9929883945841391
SVM,0.9629629629629629,0.9375,0.9574468085106383,0.9659090909090909,0.9473684210526315,0.9908123791102516
Logistic Regression,0.9555555555555556,0.9361702127659575,0.9361702127659575,0.9659090909090909,0.9361702127659575,0.995164410058027
Random Forest,0.9555555555555556,0.9361702127659575,0.9361702127659575,0.9659090909090909,0.9361702127659575,0.9922630560928434
CatBoost,0.9555555555555556,0.9361702127659575,0.9361702127659575,0.9659090909090909,0.9361702127659575,0.991779497098646
KNN,0.9555555555555556,0.9361702127659575,0.9361702127659575,0.9659090909090909,0.9361702127659575,0.9899661508704062
Decision Tree,0.9407407407407408,0.9534883720930233,0.8723404255319149,0.9772727272727273,0.9111111111111111,0.9248065764023211
