feature,mean_abs_shap
area_worst,0.06578264579513443
concave_points_worst,0.06078612770781748
perimeter_worst,0.058954182160594996
concave_points_mean,0.04412762162707219
radius_worst,0.0417285659390315
radius_mean,0.02297648031556226
area_mean,0.02254383985159758
area_se,0.022450555657331384
concavity_mean,0.021483216030527386
concavity_worst,0.02098912069737253
perimeter_mean,0.018314163080804125
texture_worst,0.01570091009390156
texture_mean,0.011956055553732619
symmetry_worst,0.00847737386082327
compactness_worst,0.008450240579946389
smoothness_worst,0.00791982135491519
radius_se,0.0072674841850877215
compactness_mean,0.006813013274126093
perimeter_se,0.004663869769068078
smoothness_mean,0.003198396906281369
fractal_dimension_worst,0.0029834920860117007
concavity_se,0.0026015909018968814
compactness_se,0.0019408519500697453
fractal_dimension_se,0.001869658141119959
symmetry_mean,0.0016540288985878798
texture_se,0.0013937242773363185
symmetry_se,0.0013570273753147355
fractal_dimension_mean,0.0012629405397289156
smoothness_se,0.001146639103917105
concave_points_se,0.0009626632805171474
