model,accuracy,precision,recall,f1,roc_auc
SVM,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9947089947089947
Random Forest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9943783068783069
CatBoost,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9990079365079365
LightGBM,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9970238095238095
Logistic Regression,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746
XGBoost,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9950396825396826
MLP,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9927248677248677
KNN,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.982308201058201
Decision Tree,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9246031746031745
