feature,value,shap
smoothness_se,-0.56541093549362,-0.05678724267412729
compactness_se,0.7814160203714043,0.056787242674127235
concave_points_worst,1.422926267987544,0.04348575952822976
concavity_worst,2.0012620574707958,-0.04348575952822968
concave_points_mean,2.068127345487117,0.04078585777698774
concavity_mean,2.230361334289237,-0.04078585777698771
radius_mean,1.8947263620728143,-0.038940742651943736
texture_mean,0.96648860573758,0.038940742651943694
compactness_mean,1.0541157244254946,0.032558886037429416
smoothness_mean,0.32930383086330317,-0.032558886037429374
